epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8688,2.05586,4.99151,1.57635,0,0,0,0,1.69697,5.02981,1.53487,0.0003,0.0003,0.0003
2,20.2081,1.9949,5.01498,1.59654,0,0,0,0,1.5948,5.00021,1.45909,0.000699931,0.000699931,0.000699931
3,21.5959,1.67753,5.00984,1.40739,0,0,0,0,1.44987,4.91928,1.34274,0.00109978,0.00109978,0.00109978
4,22.9935,1.419,4.9198,1.28083,0,0,0,0,1.56937,4.85228,1.20436,0.00149955,0.00149955,0.00149955
5,24.4018,1.20724,4.78096,1.15146,0,0,0,0,1.23413,4.80157,1.04484,0.00189925,0.00189925,0.00189925
6,25.8248,1.07631,4.53625,1.07612,0,0,0,0,1.05943,4.7237,0.9922,0.00229886,0.00229886,0.00229886
7,27.2414,1.0285,4.20378,1.04776,0,0,0,0,1.07712,4.69114,0.99634,0.0026984,0.0026984,0.0026984
8,28.5823,1.034,3.96962,1.03989,0,0,0,0,1.12564,4.63396,0.9894,0.00309785,0.00309785,0.00309785
9,29.938,1.04338,3.76899,1.02958,0,0,0,0,1.10938,4.57318,0.99025,0.00349723,0.00349723,0.00349723
10,31.3027,1.06813,3.55448,1.02102,0.03125,0.0011,0.01618,0.01279,1.09124,4.47696,0.97373,0.00389653,0.00389653,0.00389653
11,32.6639,1.08136,3.38446,1.01895,0.04842,0.04165,0.04695,0.03726,1.06977,4.35402,0.97362,0.00429574,0.00429574,0.00429574
12,34.0934,1.13876,3.33931,1.01511,0.03186,0.05866,0.05137,0.04123,1.07401,4.26473,1.00378,0.00469488,0.00469488,0.00469488
13,35.4739,1.10709,3.06105,1.04016,0.02585,0.06088,0.05548,0.04581,1.08127,4.18804,1.04036,0.00509394,0.00509394,0.00509394
14,37.0455,1.08631,2.92356,1.03675,0.02152,0.06129,0.0569,0.04784,1.02611,4.09802,0.9769,0.00549292,0.00549292,0.00549292
15,38.5774,1.15152,2.9306,1.01912,0.07978,0.06207,0.08573,0.06368,1.04382,4.07711,0.98794,0.00589182,0.00589182,0.00589182
16,40.0573,1.10015,2.65321,1.01853,0.09869,0.08831,0.11157,0.08603,1.03231,3.93277,0.99266,0.00629064,0.00629064,0.00629064
17,41.5064,1.10049,2.6373,1.01906,0.09357,0.14105,0.13686,0.10952,1.04186,3.84472,1.00302,0.00668939,0.00668939,0.00668939
18,42.9317,1.09377,2.32446,1.0521,0.09852,0.15058,0.15133,0.11948,1.07029,3.78548,1.01671,0.00708805,0.00708805,0.00708805
19,44.4087,1.24346,2.38153,1.03118,0.0854,0.18767,0.16256,0.1186,1.21116,3.65918,1.04527,0.00748664,0.00748664,0.00748664
20,45.901,1.243,2.20948,1.03027,0.0559,0.22568,0.16233,0.12435,1.11481,3.47272,1.00255,0.00788514,0.00788514,0.00788514
21,47.3803,1.18797,2.03314,1.0191,0.06941,0.2427,0.19486,0.14446,1.13251,3.10125,1.01442,0.00828357,0.00828357,0.00828357
22,48.8918,1.2063,1.81754,1.04238,0.05029,0.2889,0.21622,0.16099,1.1362,2.65147,1.04845,0.00868191,0.00868191,0.00868191
23,50.4109,1.20405,1.88305,1.04072,0.07639,0.34437,0.23322,0.17369,1.17935,2.63887,1.01606,0.00908018,0.00908018,0.00908018
24,52.0604,1.22406,1.84223,1.00066,0.65945,0.18992,0.27963,0.20088,1.08383,2.54483,0.99885,0.00947837,0.00947837,0.00947837
25,53.7954,1.18159,1.72848,1.03552,0.67877,0.16775,0.28022,0.21704,1.04146,2.30394,1.01747,0.00987648,0.00987648,0.00987648
26,55.328,1.12401,1.73312,1.02527,0.67291,0.2007,0.29842,0.20578,1.22343,2.0845,1.07195,0.00997525,0.00997525,0.00997525
27,56.8651,1.18249,1.63363,1.03051,0.65674,0.19211,0.29842,0.21888,1.12342,2.00986,1.05881,0.00997426,0.00997426,0.00997426
28,58.405,1.15735,1.47716,1.03463,0.6144,0.26914,0.31928,0.2414,1.03185,1.69232,0.98938,0.00997327,0.00997327,0.00997327
29,59.9297,1.13508,1.50879,1.0067,0.62756,0.30931,0.33007,0.24701,1.05334,1.64047,1.01364,0.00997228,0.00997228,0.00997228
30,61.4721,1.15558,1.48485,1.00432,0.64291,0.24876,0.34302,0.25027,1.08472,1.67773,0.99825,0.00997129,0.00997129,0.00997129
31,62.9578,1.12919,1.35511,0.98018,0.60964,0.26524,0.33258,0.24944,1.00151,1.28526,0.96368,0.0099703,0.0099703,0.0099703
32,64.4309,1.08618,1.33662,0.99053,0.63035,0.30913,0.40398,0.30254,1.05668,1.15136,0.99329,0.00996931,0.00996931,0.00996931
33,66.0649,1.07165,1.35909,1.01053,0.60642,0.30089,0.3811,0.29602,1.04374,1.37578,0.99079,0.00996832,0.00996832,0.00996832
34,67.729,1.12303,1.29379,0.99314,0.70704,0.28789,0.48494,0.39521,0.98391,1.09109,0.96053,0.00996733,0.00996733,0.00996733
35,69.28,1.08008,1.28814,0.97373,0.5821,0.35594,0.40607,0.31806,1.02506,1.09856,0.96573,0.00996634,0.00996634,0.00996634
36,70.7798,1.10827,1.24189,0.97924,0.70603,0.3343,0.47921,0.37868,0.97622,1.03272,0.96672,0.00996535,0.00996535,0.00996535
37,72.3039,1.15212,1.22723,0.98718,0.50948,0.4565,0.43599,0.34194,1.02208,1.04018,0.96325,0.00996436,0.00996436,0.00996436
38,73.8398,1.06044,1.18679,0.96986,0.70636,0.33035,0.43132,0.33248,1.04059,0.92696,0.96396,0.00996337,0.00996337,0.00996337
39,75.3832,1.07428,1.12253,0.98446,0.56422,0.41893,0.42491,0.33907,0.97087,0.92335,0.96288,0.00996238,0.00996238,0.00996238
40,76.9132,1.07618,1.14999,0.96884,0.62187,0.40186,0.43361,0.34465,0.92003,0.90033,0.95754,0.00996139,0.00996139,0.00996139
41,78.4495,1.02258,1.08278,0.97395,0.62289,0.38761,0.4597,0.35956,1.03119,0.90729,0.9734,0.0099604,0.0099604,0.0099604
42,79.9377,1.00817,1.05231,0.99095,0.73343,0.35513,0.44418,0.35543,0.89001,0.82896,0.95107,0.00995941,0.00995941,0.00995941
43,81.4942,1.02151,1.07576,1.00171,0.68557,0.42631,0.49976,0.4041,0.84945,0.79887,0.93718,0.00995842,0.00995842,0.00995842
44,83.1273,0.97542,1.01262,0.98614,0.68269,0.41307,0.48865,0.37791,1.02154,0.91271,1.0084,0.00995743,0.00995743,0.00995743
45,84.6511,1.01618,1.00412,0.97434,0.696,0.39892,0.48034,0.38588,0.89152,0.86104,0.94692,0.00995644,0.00995644,0.00995644
46,86.1942,0.98534,1.03477,0.96018,0.64064,0.50084,0.51997,0.42506,0.85362,0.83333,0.9412,0.00995545,0.00995545,0.00995545
47,87.7419,0.97611,1.00697,0.96115,0.58892,0.51278,0.4826,0.37603,0.98832,0.90295,0.96807,0.00995446,0.00995446,0.00995446
